time	x	y
99.046809	-5.810384444	-4.173161893
99.756576	-5.81045775	-3.661919481
100.466761	-5.810743677	-3.088054411
101.078232	-5.815229346	-2.498291126
101.585702	-5.819899684	-1.987045349
102.093965	-5.82109855	-1.423340811
102.60321	-5.81684184	-0.856868064
103.110827	-5.813508062	-0.29798224
103.620788	-5.810925323	0.261965278
104.128383	-5.79692281	0.824617291
104.636864	-5.757866899	1.39342724
105.145729	-5.687320335	1.946894546
105.655384	-5.573661725	2.528883687
106.163832	-5.422698838	3.088802025
106.680147	-5.226098779	3.654771495
107.186631	-5.022763444	4.161149818
107.701441	-4.794310814	4.694758878
108.210331	-4.566777003	5.223004513
108.721295	-4.333486394	5.747478103
109.128735	-4.123733856	6.203459291
109.63681	-3.885557821	6.734727516
110.14697	-3.669727886	7.276960691
110.660598	-3.476470862	7.821634248
111.176992	-3.281928725	8.411700799
111.584929	-3.132198068	8.905298988
112.092399	-2.987967413	9.493794259
112.601872	-2.880475544	10.10538769
113.11065	-2.819323308	10.69938077
113.517709	-2.79069597	11.20677349
113.926449	-2.780783605	11.73151017
114.444564	-2.794891595	12.35093854
114.951316	-2.836177484	12.94994527
115.461493	-2.882730732	13.51664094
115.973092	-2.923756186	14.13167982
116.482047	-2.946327558	14.6928497
116.994294	-2.912252661	15.28514884
117.50148	-2.805315068	15.79331379
118.009311	-2.613629777	16.26168581
118.519542	-2.332182287	16.67749604
119.031361	-1.97976042	17.04899782
119.645184	-1.514089458	17.41172772
120.152567	-1.052145193	17.67246461
120.660356	-0.585296619	17.86931603
121.170076	-0.066108877	18.0166207
121.778865	0.501978276	18.12752225
122.492816	1.0531652	18.19090447
123.507656	1.593910902	18.26016751
124.928858	2.113324528	18.33530969
