hab to close cargo						close cargo to loading						loading to middle cargo						middle cargo to loading						loading to far cargo						far cargo to loading				loading to close rocket		
time	x	y				time	x	y				time	x	y				time	x	y				time	x	y				time	x	y		time	x	y
36.669509	-0.006179032	0.540205789				68.565299	1.559803577	15.7597026				99.046809	-5.810384444	-4.173161893				129.68822	1.600845439	18.2647169				158.335704	-4.621254055	-3.441156786				201.261384	1.106058647	20.72310835		230.35284	-3.064960409	-3.135836048
37.286447	-0.012620533	1.133159101				69.47958	1.000436994	15.71506796				99.756576	-5.81045775	-3.661919481				130.398217	1.051282844	18.19512311				158.943598	-4.65343641	-2.86110722				201.86901	0.568109542	20.59916843		231.06264	-3.136290266	-2.576355389
37.808553	-0.013935264	1.652069737				70.197322	0.445359799	15.63752375				100.466761	-5.810743677	-3.088054411				131.117396	0.537573381	18.13023029				159.451682	-4.688059707	-2.325970783				202.3768	0.081173585	20.44910241		231.672142	-3.181353594	-2.037975144
38.316279	-0.014665441	2.154041773				70.707492	-0.05325022	15.53536791				101.078232	-5.815229346	-2.498291126				131.726644	0.004363487	18.0409636				160.058572	-4.723319915	-1.724971639				202.884527	-0.393939207	20.24512577		232.282022	-3.21815397	-1.448561092
38.932194	-0.019332405	2.749359517				71.215288	-0.564580278	15.38934699				101.585702	-5.819899684	-1.987045349				132.335259	-0.535261379	17.90147221				160.567476	-4.74863882	-1.189054752				203.391344	-0.839923102	19.99199419		232.788258	-3.247757145	-0.936234328
39.445265	-0.037519893	3.252090446				71.725147	-1.085943961	15.19691603				102.093965	-5.82109855	-1.423340811				132.944579	-1.05602834	17.68391361				161.075966	-4.765494915	-0.664100529				204.000155	-1.334230259	19.64032035		233.293901	-3.290305608	-0.332825854
39.951748	-0.072499282	3.753778538				72.239957	-1.559733713	14.97364594				102.60321	-5.81684184	-0.856868064				133.557167	-1.553917143	17.39015155				161.585038	-4.778903718	-0.080339516				204.51035	-1.719681138	19.28422099		233.799717	-3.336409358	0.255152815
40.466712	-0.125860788	4.28016651				72.748625	-1.994996847	14.71179488				103.110827	-5.813508062	-0.29798224				134.064754	-1.947059371	17.04603377				162.091755	-4.790342144	0.485945298				205.117896	-2.073580098	18.8306888		234.308902	-3.391451274	0.871676897
40.976958	-0.206524918	4.836461663				73.357791	-2.446298521	14.36975061				103.620788	-5.810925323	0.261965278				134.574214	-2.279954692	16.64569313				162.599655	-4.783532023	1.076683775				205.623695	-2.331240064	18.39763791		234.816687	-3.448489534	1.475973839
41.488958	-0.304350072	5.382259953				73.969193	-2.82638414	13.97582798				104.128383	-5.79692281	0.824617291				135.082673	-2.572679567	16.18640428				163.106666	-4.743944787	1.652701143				206.230954	-2.550430184	17.87765282		235.32527	-3.505937465	2.082453858
42.002578	-0.421304072	5.95917095				74.579805	-3.106198178	13.55955505				104.636864	-5.757866899	1.39342724				135.591009	-2.793595899	15.70598076				163.617861	-4.674467457	2.228687053				206.839089	-2.66415956	17.32071407		235.833525	-3.556031097	2.669932066
42.518265	-0.565384292	6.560452807				75.293344	-3.346608256	13.05994622				105.145729	-5.687320335	1.946894546				136.101798	-2.959110041	15.19185866				164.125953	-4.576199257	2.774109601				207.450807	-2.700520978	16.72215895		236.34028	-3.595714993	3.245637508
